Region,Country,EOL($MM),UOL($MM),Total VAR($MM)
Asia Pacific,CHINA,43.03,412.76,455.79,
Asia Pacific,HONG KONG,40.09,348.47,388.56,
Asia Pacific,INDIA,34.35,316.86,351.21,
Asia Pacific,INDONESIA,30.13,320.92,351.05,
Asia Pacific,JAPAN,9.18,42.55,51.73,
Asia Pacific,KOREA  REPUBLIC OF,41.6,369.07,410.67,
Asia Pacific,MALAYSIA,41.37,406.87,448.24,
Asia Pacific,NEPAL,Not available,Not available,Not available,
Asia Pacific,PHILIPPINES,29.44,295.51,324.95,
Asia Pacific,TAIWAN  PROVINCE OF CHINA,31.38,323.73,355.11,
Asia Pacific,THAILAND,44.7,430,474.7,
EMEA,BELGIUM,2.07,53.47,55.54,
EMEA,CZECH REPUBLIC,2.25,27.29,29.55,
EMEA,EGYPT,2.25,28.32,30.57,
EMEA,GREECE,4.94,59.97,64.91,
EMEA,HUNGARY,2.68,27.79,30.47,
EMEA,IRELAND,45.49,580.31,625.79,
EMEA,ITALY,0.7,7.26,7.96,
EMEA,NIGERIA,2.28,57.92,60.19,
EMEA,PAKISTAN,1.62,20.44,22.06,
EMEA,POLAND,28.9,210.2,239.1,
EMEA,ROMANIA,2,24.51,26.51,
EMEA,RUSSIAN FEDERATION,7.33,72.52,79.85,
EMEA,SOUTH AFRICA,7.45,137.55,145,
EMEA,TURKEY,1.15,8.36,9.51,
EMEA,UKRAINE,1.6,20.03,21.64,
EMEA,UNITED ARAB EMIRATES,2.08,22.94,25.03,
LATAM,ARGENTINA,20.06,155.43,175.49,
LATAM,BRAZIL,193.8,766.96,960.76,
LATAM,CHILE,171.95,737.3,909.25,
LATAM,COLOMBIA,59.92,455.11,515.04,
LATAM,COSTA RICA,80.15,592.98,673.13,
LATAM,EL SALVADOR,49.89,393.18,443.07,
LATAM,GUATEMALA,79.58,590.33,669.91,
LATAM,HONDURAS,45.7,373.94,419.64,
LATAM,JAMAICA,2.43,23.56,25.99,
LATAM,MEXICO,155.8,679.51,835.31,
LATAM,PANAMA,79.39,578.27,657.66,
LATAM,PERU,4.6,47.49,52.1,
LATAM,VENEZUELA,5.31,55.32,60.63,

